,Path,Relative_Path,Type,Sublabel,Label
1081,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/sens_interdit/img_80.png,../Donnees/Interdictions/sens_interdit/img_80.png,Interdictions,sens_interdit,Interdictions-sens_interdit
112,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser/img_20.png,../Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser/img_20.png,Fin_Interdictions,Fin_Interdiction_De_Depasser,Fin_Interdictions-Fin_Interdiction_De_Depasser
1529,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tourner_a_droite/img_15.png,../Donnees/Obligations/tourner_a_droite/img_15.png,Obligations,tourner_a_droite,Obligations-tourner_a_droite
1381,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/limitation_vitesse/img_56.png,../Donnees/Interdictions/limitation_vitesse/img_56.png,Interdictions,limitation_vitesse,Interdictions-limitation_vitesse
2754,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Pont_Mobile/img_10.png,../Donnees/Dangers/Pont_Mobile/img_10.png,Dangers,Pont_Mobile,Dangers-Pont_Mobile
925,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_motos/img_8.png,../Donnees/Interdictions/acces_interdit_motos/img_8.png,Interdictions,acces_interdit_motos,Interdictions-acces_interdit_motos
2220,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Priorite_A_Droite/img_42.png,../Donnees/Dangers/Priorite_A_Droite/img_42.png,Dangers,Priorite_A_Droite,Dangers-Priorite_A_Droite
2419,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Succesion_De_Virage_Gauche/img_54.png,../Donnees/Dangers/Succesion_De_Virage_Gauche/img_54.png,Dangers,Succesion_De_Virage_Gauche,Dangers-Succesion_De_Virage_Gauche
535,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_vehicules_marchandise/img_17.png,../Donnees/Interdictions/acces_interdit_vehicules_marchandise/img_17.png,Interdictions,acces_interdit_vehicules_marchandise,Interdictions-acces_interdit_vehicules_marchandise
837,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_vehicules_moteurs_sauf_velo/img_1.png,../Donnees/Interdictions/acces_interdit_vehicules_moteurs_sauf_velo/img_1.png,Interdictions,acces_interdit_vehicules_moteurs_sauf_velo,Interdictions-acces_interdit_vehicules_moteurs_sauf_velo
1916,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/chaines_a_neige_obligatoires/img_61.png,../Donnees/Obligations/chaines_a_neige_obligatoires/img_61.png,Obligations,chaines_a_neige_obligatoires,Obligations-chaines_a_neige_obligatoires
1198,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/stationnement_interdit/img_10.png,../Donnees/Interdictions/stationnement_interdit/img_10.png,Interdictions,stationnement_interdit,Interdictions-stationnement_interdit
1899,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/chaines_a_neige_obligatoires/img_46.png,../Donnees/Obligations/chaines_a_neige_obligatoires/img_46.png,Obligations,chaines_a_neige_obligatoires,Obligations-chaines_a_neige_obligatoires
1,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Toutes_Interdiction/img_10.png,../Donnees/Fin_Interdictions/Fin_Toutes_Interdiction/img_10.png,Fin_Interdictions,Fin_Toutes_Interdiction,Fin_Interdictions-Fin_Toutes_Interdiction
