,Path,Relative_Path,Type,Sublabel,Label
3394,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Entree_Aire_Pietonne/img_12.png,../Donnees/Indications/Entree_Aire_Pietonne/img_12.png,Indications,Entree_Aire_Pietonne,Indications-Entree_Aire_Pietonne
2567,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Carrefour_Sens_Giratoire/img_36.png,../Donnees/Dangers/Carrefour_Sens_Giratoire/img_36.png,Dangers,Carrefour_Sens_Giratoire,Dangers-Carrefour_Sens_Giratoire
3381,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Voie_De_Detresse/img_37.png,../Donnees/Indications/Voie_De_Detresse/img_37.png,Indications,Voie_De_Detresse,Indications-Voie_De_Detresse
1293,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_vehicules_longeur_depasse/img_9.png,../Donnees/Interdictions/acces_interdit_vehicules_longeur_depasse/img_9.png,Interdictions,acces_interdit_vehicules_longeur_depasse,Interdictions-acces_interdit_vehicules_longeur_depasse
1520,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tourner_a_droite/img_14.png,../Donnees/Obligations/tourner_a_droite/img_14.png,Obligations,tourner_a_droite,Obligations-tourner_a_droite
3283,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Impasse_Ou_Rue_Sans_Issue/img_10.png,../Donnees/Indications/Impasse_Ou_Rue_Sans_Issue/img_10.png,Indications,Impasse_Ou_Rue_Sans_Issue,Indications-Impasse_Ou_Rue_Sans_Issue
3433,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Circulation_Sens_Unique/img_20.png,../Donnees/Indications/Circulation_Sens_Unique/img_20.png,Indications,Circulation_Sens_Unique,Indications-Circulation_Sens_Unique
952,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_tourner_droite/img_32.png,../Donnees/Interdictions/interdiction_tourner_droite/img_32.png,Interdictions,interdiction_tourner_droite,Interdictions-interdiction_tourner_droite
3114,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Reduction_Du_Nombre_De_Voies/img_3.png,../Donnees/Indications/Reduction_Du_Nombre_De_Voies/img_3.png,Indications,Reduction_Du_Nombre_De_Voies,Indications-Reduction_Du_Nombre_De_Voies
1136,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/cedez_passage_sens_inverse/img_1.png,../Donnees/Interdictions/cedez_passage_sens_inverse/img_1.png,Interdictions,cedez_passage_sens_inverse,Interdictions-cedez_passage_sens_inverse
